"","year","seas","index","obs","se_log"
"1",1,1,2,4099000000,0.2
"2",2,1,2,4102810000,0.2
"3",3,1,2,4128120000,0.2
"4",4,1,2,4165800000,0.2
"5",5,1,2,4167880000,0.2
"6",6,1,2,4131820000,0.2
"7",7,1,2,4090200000,0.2
"8",8,1,2,4057320000,0.2
"9",9,1,2,4018100000,0.2
"10",10,1,2,4002300000,0.2
"11",11,1,2,3987390000,0.2
"12",12,1,2,3959620000,0.2
"13",13,1,2,3907730000,0.2
"14",14,1,2,3851960000,0.2
"15",15,1,2,3825940000,0.2
"16",16,1,2,3793900000,0.2
"17",17,1,2,3742670000,0.2
"18",18,1,2,3703180000,0.2
"19",19,1,2,3686340000,0.2
"20",20,1,2,3699710000,0.2
"21",21,1,2,3718970000,0.2
"22",22,1,2,3743930000,0.2
"23",23,1,2,3788180000,0.2
"24",24,1,2,3864860000,0.2
"25",25,1,2,3964220000,0.2
"26",26,1,2,4077200000,0.2
"27",27,1,2,4150130000,0.2
"28",28,1,2,4193330000,0.2
"29",29,1,2,4214490000,0.2
"30",30,1,2,4250580000,0.2
"31",31,1,2,4297000000,0.2
"32",32,1,2,4336310000,0.2
"33",33,1,2,4349510000,0.2
"34",34,1,2,4362860000,0.2
"35",35,1,2,4379650000,0.2
"36",36,1,2,4380470000,0.2
"37",37,1,2,4343380000,0.2
"38",38,1,2,4316140000,0.2
"39",39,1,2,4259390000,0.2
"40",40,1,2,4219440000,0.2
"41",41,1,2,4151150000,0.2
"42",42,1,2,4067730000,0.2
"43",43,1,2,3982950000,0.2
"44",44,1,2,3984280000,0.2
"45",45,1,2,3955140000,0.2
"46",46,1,2,3904420000,0.2
"47",47,1,2,3880640000,0.2
"48",48,1,2,3860630000,0.2
"49",49,1,2,3820080000,0.2
"50",50,1,2,3781080000,0.2
"51",51,1,2,3756810000,0.2
"52",52,1,2,3711940000,0.2
"53",53,1,2,3667440000,0.2
"54",54,1,2,3618030000,0.2
"55",55,1,2,3566320000,0.2
"56",56,1,2,3548660000,0.2
"57",57,1,2,3555860000,0.2
"58",58,1,2,3568520000,0.2
"59",59,1,2,3560160000,0.2
"60",60,1,2,3561200000,0.2
"61",61,1,2,3614080000,0.2
"62",62,1,2,3649420000,0.2
"63",63,1,2,3667010000,0.2
"64",64,1,2,3668160000,0.2
"65",65,1,2,3648540000,0.2
"66",66,1,2,3603500000,0.2
"67",67,1,2,3552520000,0.2
"68",68,1,2,3478420000,0.2
"69",69,1,2,3395690000,0.2
"70",70,1,2,3305300000,0.2
"71",71,1,2,3223620000,0.2
"72",72,1,2,3148460000,0.2
"73",73,1,2,3167280000,0.2
"74",74,1,2,3152660000,0.2
"75",75,1,2,3160850000,0.2
"76",76,1,2,3118630000,0.2
"77",77,1,2,3011390000,0.2
"78",78,1,2,2869860000,0.2
"79",79,1,2,2733590000,0.2
"80",80,1,2,2585620000,0.2
"81",81,1,2,2430930000,0.2
"82",82,1,2,2291470000,0.2
"83",83,1,2,2175610000,0.2
"84",84,1,2,2082590000,0.2
"85",85,1,2,2042010000,0.2
"86",86,1,2,1989210000,0.2
"87",87,1,2,1930850000,0.2
"88",88,1,2,1949910000,0.2
